id	name	group	weak_arch	weak_elem	damage_assumption	healer_needed	want_buffs	want_debuffs	defensive_buffs	defensive_debuffs	notes
ramuh-ex3	Trial of Ramuh - EX 3	Boss details	phys	water	conservative	TRUE	patkUp,elemDmgUp:water,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:water,physWeaponBoost,elemWeaponBoost:water	pdefDown,elemResistDown:water,enfeeble,singleTgtPhysDmgRcvdUp	mdefUp,elemResistUp:lightning	elemDmgDown:lightning	Weakness: Water. Resistance: Lightning. Type: Summon / Humanoid / Aerial. Recommended sigils: circle / X / diamond. Damage sigil: diamond. Immune to Poison, Darkness, Silence, Stun, Fatigue, Fog, Single-Tgt. Mag. Dmg. Rcvd. Up, All-Tgt. Mag. Dmg. Rcvd. Up. Lightning potency changes based on Force Gauge: Lightning; gauge can be depleted with damage; Radiant Falchion removes most target buffs; inflicts Water Potency Down.
enemy-demon-masamune	Demon Masamune	Enemy Stats (generated)	hybrid	ice	conservative	TRUE	patkUp,matkUp,elemDmgUp:ice,enliven,exploitWeakness,elemDmgBonus:ice,elemWeaponBoost:ice	pdefDown,mdefDown,elemResistDown:ice,enfeeble	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 100; HP 2,100,000,000; PATK 300,000; MATK 75,000; PDEF 5,000; MDEF 5,000; Type: Humanoid / Terrestrial. Weakness: Ice 100%; resistances: Water 100%; Fire 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-behemoth-firebrand	Behemoth Firebrand	Enemy Stats (generated)	hybrid	ice	conservative	TRUE	patkUp,matkUp,elemDmgUp:ice,enliven,exploitWeakness,elemDmgBonus:ice,elemWeaponBoost:ice	pdefDown,mdefDown,elemResistDown:ice,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 2,000,000,000; PATK 10,000; MATK 10,000; PDEF 7,000; MDEF 7,000; Type: Quadruped / Terrestrial. Weakness: Ice 100%; resistances: Fire 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-gallonbaloir-rex	Gallonbaloir Rex	Enemy Stats (generated)	hybrid	water	conservative	TRUE	patkUp,matkUp,elemDmgUp:water,enliven,exploitWeakness,elemDmgBonus:water,elemWeaponBoost:water	pdefDown,mdefDown,elemResistDown:water,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 1,800,000,000; PATK 11,500; MATK 11,500; PDEF 300; MDEF 300; Type: Quadruped / Terrestrial. Weakness: Water 100%; resistances: Lightning 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-bahamut-jin	Bahamut JIN	Enemy Stats (generated)	hybrid	ice	conservative	TRUE	patkUp,matkUp,elemDmgUp:ice,enliven,exploitWeakness,elemDmgBonus:ice,elemWeaponBoost:ice	pdefDown,mdefDown,elemResistDown:ice,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 1,800,000,000; PATK 16,000; MATK 16,000; PDEF 600; MDEF 600; Type: Summon / Winged / Aerial. Weakness: Ice 100%; resistances: None listed. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-unyielding-giant	Unyielding Giant	Enemy Stats (generated)	hybrid	earth	conservative	TRUE	patkUp,matkUp,elemDmgUp:earth,enliven,exploitWeakness,elemDmgBonus:earth,elemWeaponBoost:earth	pdefDown,mdefDown,elemResistDown:earth,enfeeble	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 1,700,000,000; PATK 15,000; MATK 3,750; PDEF 6,000; MDEF 6,000; Type: Humanoid / Terrestrial. Weakness: Earth 100%; resistances: None listed. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-tempest-house	Tempest House	Enemy Stats (generated)	hybrid	earth	conservative	TRUE	patkUp,matkUp,elemDmgUp:earth,enliven,exploitWeakness,elemDmgBonus:earth,elemWeaponBoost:earth	pdefDown,mdefDown,elemResistDown:earth,enfeeble	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 1,700,000,000; PATK 70,000; MATK 17,500; PDEF 600; MDEF 600; Type: Terrestrial. Weakness: Earth 100%; resistances: Wind 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-iron-medusa	Iron Medusa	Enemy Stats (generated)	hybrid	lightning	conservative	TRUE	patkUp,matkUp,elemDmgUp:lightning,enliven,exploitWeakness,elemDmgBonus:lightning,elemWeaponBoost:lightning	pdefDown,mdefDown,elemResistDown:lightning,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 1,600,000,000; PATK 19,000; MATK 19,000; PDEF 900; MDEF 900; Type: Machine / Aerial. Weakness: Lightning 100%; resistances: Earth 100%; Water 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-behemoth-king	Behemoth King	Enemy Stats (generated)	hybrid	fire	conservative	TRUE	patkUp,matkUp,elemDmgUp:fire,enliven,exploitWeakness,elemDmgBonus:fire,elemWeaponBoost:fire	pdefDown,mdefDown,elemResistDown:fire,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 1,500,000,000; PATK 20,000; MATK 20,000; PDEF 350; MDEF 350; Type: Quadruped / Terrestrial. Weakness: Fire 100%; resistances: Ice 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-ultima-weapon-vigor	Ultima Weapon Vigor	Enemy Stats (generated)	hybrid	lightning	conservative	TRUE	patkUp,matkUp,elemDmgUp:lightning,enliven,exploitWeakness,elemDmgBonus:lightning,elemWeaponBoost:lightning	pdefDown,mdefDown,elemResistDown:lightning,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 1,500,000,000; PATK 20,000; MATK 20,000; PDEF 6,000; MDEF 6,000; Type: Weapon. Weakness: Lightning 100%; resistances: None listed. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
