id	character	type	name	held	c_name	ob	lvl	c_arch	c_elem	c_pot	c_mod	customs	caps
wpn_cloud_buster_sword	Cloud	gacha	Buster Sword	TRUE	Braver++	10	140	phys	nonelem	750	mult=1.5 when=matchingSigil		
wpn_cloud_maritime_sword	Cloud	gacha	Maritime Sword	TRUE	Seasplitter++	10	140	phys	water	750			
wpn_cloud_skysplitter	Cloud	gacha	Skysplitter	TRUE	Firebolt Blade++	10	140	phys	fire	850			
wpn_cloud_apocalypse	Cloud	gacha	Apocalypse	TRUE	Bloody End++	10	140	phys	nonelem	940			
wpn_cloud_bandaged_sword	Cloud	gacha	Bandaged Sword	TRUE	Sanctuary++	10	140	mag	heal	6			buff type=mdefUp tier=3 range=allAllies; heal range=allAllies
wpn_cloud_murasame	Cloud	gacha	Murasame	TRUE	Thunderstrike++	10	140	phys	lightning	750			
wpn_cloud_hardedge	Cloud	gacha	Hardedge	TRUE	Armor Break++	10	140	phys	nonelem	510			debuff type=pdefDown tier=3
wpn_cloud_butterfly_edge	Cloud	gacha	Butterfly Edge	TRUE	Stalwart Barrier++	10	140	mag	heal	13			buff type=pdefUp tier=3; heal range=singleAlly
wpn_cloud_crystal_sword	Cloud	gacha	Crystal Sword	TRUE	Healing Wave++	10	140	mag	heal	71			heal range=allAllies
wpn_cloud_iron_blade	Cloud	gacha	Iron Blade	TRUE	Blast Wave++	10	140	phys	nonelem	350			debuff type=patkDown tier=2
wpn_cloud_enhanced_sword	Cloud	gacha	Enhanced Sword	TRUE	Blizzaga A++	10	140	mag	ice	520			
wpn_cloud_mythril_saber	Cloud	gacha	Mythril Saber	TRUE	Blade Burst++	10	140	mag	nonelem	940			
wpn_cloud_organics	Cloud	gacha	Organics	TRUE	Shock Slice++	10	140	phys	nonelem	750			debuff status=stun
wpn_cloud_mystic_sword	Cloud	gacha	Mystic Sword	TRUE	Forcestream++	10	140	mag	nonelem	420		spade|diamond	debuff type=matkDown tier=3; debuff type=patkDown tier=3 when=selfHpGe70; amp target=buff tier=1 maxTier=4 range=allAllies when=custom:spade; buff type=quintInterrupt range=allAllies mode=passive when=custom:diamond
wpn_cloud_full_throttle	Cloud	gacha	Full Throttle	TRUE	Icicle Axle++	10	140	mag	ice	1120			buff type=matkUp tier=3 range=self; debuff type=mdefDown tier=3 when=hitWeakness
wpn_cloud_umbralschwert	Cloud	gacha	Umbralschwert	TRUE	Aquatic Wave++	10	140	mag	water	1340		heart|diamond	debuff type=elemResistDown elem=water tier=3; debuff type=enfeeble when=firstUse; dmg arch=mag elem=water mod=1680 when=custom:heart; buff type=quintInterrupt range=allAllies mode=passive when=custom:diamond
wpn_cloud_nail_bat	Cloud	guild	Nail Bat	TRUE	Disorder++	10	140	phys	nonelem	1600		diamond	gauge type=atb range=self mode=passive when=custom:diamond; buff type=elemDmgUp elem=ice when=custom:diamond
wpn_cloud_shivas_blade	Cloud	event	Shiva's Blade	TRUE	Blizzara Surge++	10	140	mag	ice	450			
wpn_cloud_zidanes_sword	Cloud	crossover	Zidane's Sword	TRUE	Free Energy++	10	140	phys	nonelem	1300			
wpn_cloud_holiday_cheer	Cloud	event	Holiday Cheer	TRUE	Quakera Surge A++	10	140	mag	earth	290			
wpn_cloud_igneous_saber	Cloud	event	Igneous Saber	TRUE	Fira Surge A++	10	140	mag	fire	290			
wpn_cloud_stream_saber	Cloud	limited	Stream Saber	TRUE	Freezing Stream++	10	140	phys	ice	1020			buff type=hpGain range=allAllies
wpn_cloud_rune_blade	Cloud	event	Rune Blade	TRUE	Blizzara Surge A++	10	140	mag	ice	290			
wpn_cloud_glavenus_sword	Cloud	crossover	Glavenus Sword	TRUE	Fierce Charged Slash++	10	140	phys	nonelem	850			debuff type=pdefDown tier=2; buff type=patkUp tier=3 range=self when=selfHpGe50
wpn_cloud_burning_oar	Cloud	event	Burning Oar	TRUE	Fira Impact++	10	140	phys	fire	450			
wpn_cloud_bahamut_greatsword	Cloud	limited	Bahamut Greatsword	TRUE	Fierce Claw++	10	140	phys	nonelem	800	add=40000 when=selfHpGe50		buff type=haste range=self when=firstUse
wpn_cloud_lockes_sword	Cloud	crossover	Locke's Sword	TRUE	Slashing Rush++	10	140	phys	nonelem	1010			buff type=elemDmgUp elem=fire tier=3 range=self; buff type=elemDmgUp elem=ice tier=3 range=self; buff type=elemDmgUp elem=lightning tier=3 range=self
wpn_cloud_holiday_blade	Cloud	gacha	Holiday Blade	TRUE	Twister Blade++	10	140	mag	wind	940	mult=1.2 when=targetHasDebuff		
wpn_cloud_chocobo_paddle	Cloud	event	Chocobo Paddle	TRUE	Defira Surge A++	10	140	mag	nonelem	250			debuff type=elemResistDown elem=fire tier=2
